name,parent,type,size
test_dir,Home_Work_7,directory,243030
__pycache__,Home_Work_7,directory,192
creating_name.py,Home_Work_7,file,8
file_output.txt,Home_Work_7,file,78
iut.csv,Home_Work_7,file,1321
renaming.py,Home_Work_7,file,2686
task_1.py,Home_Work_7,file,831
task_2.py,Home_Work_7,file,943
task_3.py,Home_Work_7,file,2311
task_4.py,Home_Work_7,file,2704
task_5.py,Home_Work_7,file,898
test_file_names.txt,Home_Work_7,file,50
usersf.json,Home_Work_7,file,4513
walk_task.csv,Home_Work_7,file,0
walk_task.json,Home_Work_7,file,4513
walk_task.pickle,Home_Work_7,file,1868
__init__.py,Home_Work_7,file,62
DOC,test_dir,directory,32766
PDF,test_dir,directory,44183
TXT,test_dir,directory,77633
hhvideo3.mp4,test_dir,file,11013
iiiivideo2.mp4,test_dir,file,11191
iivideo3.mp4,test_dir,file,11132
ndvideo1.mp4,test_dir,file,10938
puvideo6.mp4,test_dir,file,0
Vpgehrd.doc,test_dir,file,11023
w.video4.mp4,test_dir,file,11068
Welce.doc,test_dir,file,11010
xivideo5.mp4,test_dir,file,11073
Qliikec.doc,DOC,file,10836
Ttpx.doc,DOC,file,10989
Vqmxql.doc,DOC,file,10941
Gtunwt.pdf,PDF,file,11052
Nkvw.pdf,PDF,file,11094
Rftq.pdf,PDF,file,10955
Thtytfq.pdf,PDF,file,11082
Kbqtnuu.txt,TXT,file,11110
Lxso.txt,TXT,file,11011
Rrmbym.txt,TXT,file,11134
Scms.txt,TXT,file,11102
Tobxik.txt,TXT,file,11002
Tpge.txt,TXT,file,11128
Yxivx.txt,TXT,file,11146
creating_name.cpython-311.pyc,__pycache__,file,192
